country,year,end year,number of adopted rights,Human Dignity,Overthrow Government,Amparo,Indigenous Voting,Indigenous Representation,Form Indigenous Political Parties,Indigenous Tax Exemption,Indigenous Exemption for Illegal Activities,Indigenous Internal Governance,Form Parties,Suffrage,Provide Work,Cultural Rights,Jury,Victims' Rights,Extradition of Criminals,Evidence,Pre-Trial Release,Unjustified Restraint,No Punishment Without Law,Appeal,Capital Punishment,Corporal Punishment,Due Process,Witnesses,Ex Post Laws,False Imprisonment,Fair Trial,Speedy Trial,Public Trial,Presumption of Innocence,Trial in Native Language,Juvenile Criminal Rights,Double Jeopardy,Self-Incrimination,Counsel,Debtor Detention Banned,Birthright Citizenship,Renounce Citizenship,Equality,Gender Non-Discrimination,Nationality Non-Discrimination,Origin Non-Discrimination,Racial Non-Discrimination,Language Non-Discrimination,Religious Non-Discrimination,Sexual Orientation Non-Discrimination,Age Non-Discrimination,Disability Non-Discrimination,Skin Color Non-Discrimination,Creed Non-Discrimination,Social Status Non-Discrimination,Financial Non-Discrimination,Tribe/Clan Non-Discrimination,Party Non-Discrimination,Parentage Non-Discrimination,Information,Reputation,Freedom of Religion,Church/State Relationship,Expropriation of Property,Fair Compensation,Unions,Strike,Leisure,Standard of Living,Transfer Property,Testate,Inheritance,Intellectual Property,Patents,Copyright,Trademarks,Form Business,Consumer Rights,Social Security,Support for Elderly,Support for Unemployed,Support for Disabled,Support for Children,Property,Free Market,Benefits of Science,Occupation,Safe Working Environment,Child Labor,Shelter,Marriage,Found Family,Matrimonial Equality,Childrens' Rights,Civil Marriage,Self-Determination,Health,Life,Slavery,Torture,Cruel and Unusual Punishment,Privacy,Movement,Opinion,Expression,Petition,Censorship Banned,Press,Assembly,Association,Development of Person,Conscientious Objectors,Asylum,Arms,Environment,Arts,Language Protection,Free Education,Academic Freedom,Access to Higher Education
Namibia,2012,,56,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,2. full,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. conditional,0. no,1. yes,2. full,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,1. conditional,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. conditional,2. full,2. full,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no
Nauru,2012,,32,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,2. yes and free access,0. no,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. conditional,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,2. full,2. full,2. full,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no
Nepal,2012,,51,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,2. full,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,2. yes and free access,0. no,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,2. yes and free access,0. no,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,0. no,1. conditional,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no
Netherlands,2012,,24,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,2. full,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. conditional,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no
New Zealand,2012,,0,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no
Nicaragua,2012,,74,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. conditional,1. yes,0. no,1. yes,1. yes,1. yes,2. full,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. conditional,1. yes,1. yes,2. full,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,2. yes and free access,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,2. full,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,0. no
Niger,2012,,43,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. conditional,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,2. yes and free access,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. conditional,1. yes,1. yes,2. full,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no
Nigeria,2012,,55,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no
North Korea,2012,,34,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,2. yes and free access,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no
Norway,2012,,14,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. conditional,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,2. full,0. no,0. no,0. no,0. no,1. yes,0. no,1. conditional,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no
Oman,2012,,35,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. conditional,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,2. yes and free access,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. conditional,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,2. yes and free access,0. no,0. no,2. full,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no
Pakistan,2012,,41,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,2. full,1. conditional,2. full,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. conditional
Palau,2012,,48,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,2. yes and free access,1. yes,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,1. conditional,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,2. full,2. full,2. full,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no
Panama,2012,,60,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,1. conditional,1. yes,0. no,1. yes,1. yes,0. no,2. full,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,2. full,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,2. full,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no
Papua New Guinea,2012,,50,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,2. yes and free access,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,1. yes,0. no,1. conditional,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no
Paraguay,2012,,69,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,2. full,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,2. yes and free access,1. yes,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. conditional,1. yes,1. yes,2. full,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,2. yes and free access,1. yes,1. conditional,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no
Peru,2012,,65,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. conditional,1. yes,0. no,1. yes,1. yes,1. yes,1. conditional,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,2. yes and free access,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. conditional,1. yes,1. yes,2. full,1. yes,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,2. yes and free access,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,2. full,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. conditional
Philippines,2012,,58,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. conditional,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,2. yes and free access,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. conditional,0. no,1. yes,2. full,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. yes,0. no,1. yes,0. no,1. yes,0. no,1. yes,0. no,1. yes,0. no,1. yes,1. yes,1. yes,1. conditional,2. full,2. full,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,2. full
Poland,2012,,57,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. conditional,0. no,0. no,1. yes,1. yes,1. yes,0. no,2. full,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,2. full,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,2. yes and free access,1. yes,1. conditional,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,2. full,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,2. full
Portugal,2012,,82,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. conditional,1. yes,1. yes,1. yes,1. yes,1. yes,2. full,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. conditional,1. yes,1. yes,2. full,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,2. full,1. yes,1. yes,1. yes,0. no,0. no,2. yes and free access,1. yes,0. no,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. conditional
Qatar,2012,,30,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,1. conditional,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. conditional,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,0. no,2. full,2. full,1. yes,1. yes,1. yes,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no
Romania,2012,,68,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. conditional,0. no,1. yes,1. yes,1. yes,1. yes,2. full,0. no,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. conditional,1. yes,1. yes,2. full,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no
Russia,2012,,59,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. conditional,1. yes,0. no,1. yes,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no,1. yes,1. yes,2. yes and free access,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. conditional,1. yes,1. yes,2. full,1. yes,0. no,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,0. no,1. yes,0. no,1. yes,2. yes and free access,1. yes,2. full,2. full,2. full,1. yes,1. yes,1. yes,1. yes,1. yes,2. full,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no
Rwanda,2012,,51,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,0. no,1. yes,0. no,0. no,1. conditional,1. yes,0. no,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,0. no,1. yes,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,0. no,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,1. yes,0. no,1. yes,1. yes,1. yes,0. no,1. conditional,1. yes,1. yes,2. full,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,0. no,1. yes,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,0. no,0. no,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,2. full,2. full,1. yes,1. yes,1. yes,1. yes,0. no,0. no,1. yes,1. yes,1. yes,0. no,0. no,1. yes,0. no,1. yes,0. no,0. no,1. yes,1. yes,0. no
